"bout","foragdiv_id","foragdata_id","date","timestart","timeend","where","canopy","kelptype","success","prey","number","size","qualifier","geometry","site"
"mba-2016-07-11-snl-1600","mba-2016-07-11-snl-1600-SB1-9","mba-2016-07-11-snl-1600-SB1-9-1",2016-07-11,1899-12-31 16:00:00,1899-12-31 16:21:00,"k",1,"m","c","rab",1,NA,NA,c(-121.910969548872, 36.6255402114228),NA
"mba-2016-07-11-snl-1654","mba-2016-07-11-snl-1654-SB1-1","mba-2016-07-11-snl-1654-SB1-1-1",2016-07-11,1899-12-31 16:54:00,1899-12-31 17:03:00,"e",0.5,"m","y","unk",1,2,"a",c(-121.920192002191, 36.6323435057715),NA
"mba-2016-07-11-snl-1654","mba-2016-07-11-snl-1654-SB1-3","mba-2016-07-11-snl-1654-SB1-3-1",2016-07-11,1899-12-31 16:54:00,1899-12-31 17:03:00,"e",0.5,"m","y","unk",1,1,"b",c(-121.920192002191, 36.6323435057715),NA
"mba-2016-07-11-snl-1654","mba-2016-07-11-snl-1654-SB1-6","mba-2016-07-11-snl-1654-SB1-6-1",2016-07-11,1899-12-31 16:54:00,1899-12-31 17:03:00,"e",0.5,"m","y","unk",1,1,"b",c(-121.920636520018, 36.6325525697322),NA
"mba-2016-07-13-sme-1107","mba-2016-07-13-sme-1107-SB1-1","mba-2016-07-13-sme-1107-SB1-1-1",2016-07-13,1899-12-31 11:07:00,1899-12-31 11:34:00,"o",1,"m","y","unk",4,1,"b",c(-121.916765080217, 36.6324501235931),NA
"mba-2016-07-13-sme-1107","mba-2016-07-13-sme-1107-SB1-10","mba-2016-07-13-sme-1107-SB1-10-1",2016-07-13,1899-12-31 11:07:00,1899-12-31 11:34:00,"o",1,"m","y","unk",NA,NA,NA,c(-121.915601605487, 36.6334313377034),NA
"mba-2016-07-13-sme-1107","mba-2016-07-13-sme-1107-SB1-11","mba-2016-07-13-sme-1107-SB1-11-1",2016-07-13,1899-12-31 11:07:00,1899-12-31 11:34:00,"o",1,"m","y","unk",3,2,"a",c(-121.915601605487, 36.6334313377034),NA
"mba-2016-07-13-sme-1107","mba-2016-07-13-sme-1107-SB1-2","mba-2016-07-13-sme-1107-SB1-2-1",2016-07-13,1899-12-31 11:07:00,1899-12-31 11:34:00,"o",1,"m","y","unk",3,2,"b",c(-121.916298255359, 36.6334264331338),NA
"mba-2016-07-13-sme-1107","mba-2016-07-13-sme-1107-SB1-3","mba-2016-07-13-sme-1107-SB1-3-1",2016-07-13,1899-12-31 11:07:00,1899-12-31 11:34:00,"o",1,"m","y","unk",6,2,"b",c(-121.916298255359, 36.6334264331338),NA
"mba-2016-07-13-sme-1107","mba-2016-07-13-sme-1107-SB1-4","mba-2016-07-13-sme-1107-SB1-4-1",2016-07-13,1899-12-31 11:07:00,1899-12-31 11:34:00,"o",1,"m","y","unk",3,2,"b",c(-121.916298255359, 36.6334264331338),NA
"mba-2016-07-13-sme-1107","mba-2016-07-13-sme-1107-SB1-5","mba-2016-07-13-sme-1107-SB1-5-1",2016-07-13,1899-12-31 11:07:00,1899-12-31 11:34:00,"o",1,"m","y","unk",1,2,"b",c(-121.915601605487, 36.6334313377034),NA
"mba-2016-07-13-sme-1107","mba-2016-07-13-sme-1107-SB1-7","mba-2016-07-13-sme-1107-SB1-7-1",2016-07-13,1899-12-31 11:07:00,1899-12-31 11:34:00,"o",1,"m","y","unk",1,2,"a",c(-121.915601605487, 36.6334313377034),NA
"mba-2016-07-13-sme-1107","mba-2016-07-13-sme-1107-SB1-8","mba-2016-07-13-sme-1107-SB1-8-1",2016-07-13,1899-12-31 11:07:00,1899-12-31 11:34:00,"o",1,"m","y","wrl",3,2,"b",c(-121.915601605487, 36.6334313377034),NA
"mba-2016-07-13-sme-1107","mba-2016-07-13-sme-1107-SB1-9","mba-2016-07-13-sme-1107-SB1-9-1",2016-07-13,1899-12-31 11:07:00,1899-12-31 11:34:00,"o",1,"m","y","wrl",3,2,"b",c(-121.915601605487, 36.6334313377034),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-10","mba-2016-07-13-sme-1358-SB1-10-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",1,1,"c",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-11","mba-2016-07-13-sme-1358-SB1-11-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",1,1,"c",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-13","mba-2016-07-13-sme-1358-SB1-13-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",2,2,"a",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-16","mba-2016-07-13-sme-1358-SB1-16-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",4,2,"a",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-17","mba-2016-07-13-sme-1358-SB1-17-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",3,2,"a",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-19","mba-2016-07-13-sme-1358-SB1-19-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",6,2,"a",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-20","mba-2016-07-13-sme-1358-SB1-20-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",2,2,"b",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-22","mba-2016-07-13-sme-1358-SB1-22-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",4,2,"b",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-25","mba-2016-07-13-sme-1358-SB1-25-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",3,2,"b",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-26","mba-2016-07-13-sme-1358-SB1-26-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",3,2,"a",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-27","mba-2016-07-13-sme-1358-SB1-27-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",2,2,"b",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-28","mba-2016-07-13-sme-1358-SB1-28-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",4,2,"a",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-29","mba-2016-07-13-sme-1358-SB1-29-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",5,2,"a",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-3","mba-2016-07-13-sme-1358-SB1-3-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","prc",1,2,"b",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-30","mba-2016-07-13-sme-1358-SB1-30-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",4,2,"a",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-31","mba-2016-07-13-sme-1358-SB1-31-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",5,2,"a",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-32","mba-2016-07-13-sme-1358-SB1-32-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",5,2,"a",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-33","mba-2016-07-13-sme-1358-SB1-33-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",3,2,"b",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-34","mba-2016-07-13-sme-1358-SB1-34-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",3,2,"a",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-35","mba-2016-07-13-sme-1358-SB1-35-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",NA,NA,NA,c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-6","mba-2016-07-13-sme-1358-SB1-6-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",1,2,"b",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-7","mba-2016-07-13-sme-1358-SB1-7-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","unk",1,2,"b",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-8","mba-2016-07-13-sme-1358-SB1-8-1",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",1,2,"a",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-sme-1358","mba-2016-07-13-sme-1358-SB1-8","mba-2016-07-13-sme-1358-SB1-8-2",2016-07-13,1899-12-31 13:58:00,1899-12-31 14:32:00,"k",1,"m","y","cra",0.001,2,"a",c(-121.917711697634, 36.6337855369788),NA
"mba-2016-07-13-snl-1522","mba-2016-07-13-snl-1522-SB1-1","mba-2016-07-13-snl-1522-SB1-1-1",2016-07-13,1899-12-31 15:22:00,1899-12-31 16:02:00,"k",1,"m","y","unk",NA,NA,NA,c(-121.918464460901, 36.6334092573358),NA
"mba-2016-07-13-snl-1522","mba-2016-07-13-snl-1522-SB1-10","mba-2016-07-13-snl-1522-SB1-10-1",2016-07-13,1899-12-31 15:22:00,1899-12-31 16:02:00,"k",1,"m","y","pur",2,2,"b",c(-121.918464460901, 36.6334092573358),NA
"mba-2016-07-13-snl-1522","mba-2016-07-13-snl-1522-SB1-12","mba-2016-07-13-snl-1522-SB1-12-1",2016-07-13,1899-12-31 15:22:00,1899-12-31 16:02:00,"k",1,"m","y","unk",1,1,"c",c(-121.918464460901, 36.6334092573358),NA
"mba-2016-07-13-snl-1522","mba-2016-07-13-snl-1522-SB1-13","mba-2016-07-13-snl-1522-SB1-13-1",2016-07-13,1899-12-31 15:22:00,1899-12-31 16:02:00,"k",1,"m","y","caa",1,3,"c",c(-121.918464460901, 36.6334092573358),NA
"mba-2016-07-13-snl-1522","mba-2016-07-13-snl-1522-SB1-14","mba-2016-07-13-snl-1522-SB1-14-1",2016-07-13,1899-12-31 15:22:00,1899-12-31 16:02:00,"k",1,"m","c","caa",1,3,"c",c(-121.918464460901, 36.6334092573358),NA
"mba-2016-07-13-snl-1522","mba-2016-07-13-snl-1522-SB1-16","mba-2016-07-13-snl-1522-SB1-16-1",2016-07-13,1899-12-31 15:22:00,1899-12-31 16:02:00,"k",1,"m","y","unk",3,NA,NA,c(-121.918464460901, 36.6334092573358),NA
"mba-2016-07-13-snl-1522","mba-2016-07-13-snl-1522-SB1-16","mba-2016-07-13-snl-1522-SB1-16-2",2016-07-13,1899-12-31 15:22:00,1899-12-31 16:02:00,"k",1,"m","y","cra",1,NA,NA,c(-121.918464460901, 36.6334092573358),NA
"mba-2016-07-13-snl-1522","mba-2016-07-13-snl-1522-SB1-2","mba-2016-07-13-snl-1522-SB1-2-1",2016-07-13,1899-12-31 15:22:00,1899-12-31 16:02:00,"k",1,"m","y","prc",3,2,"a",c(-121.918464460901, 36.6334092573358),NA
"mba-2016-07-13-snl-1522","mba-2016-07-13-snl-1522-SB1-3","mba-2016-07-13-snl-1522-SB1-3-1",2016-07-13,1899-12-31 15:22:00,1899-12-31 16:02:00,"k",1,"m","y","pur",1,1,"b",c(-121.918464460901, 36.6334092573358),NA
"mba-2016-07-13-snl-1522","mba-2016-07-13-snl-1522-SB1-4","mba-2016-07-13-snl-1522-SB1-4-1",2016-07-13,1899-12-31 15:22:00,1899-12-31 16:02:00,"k",1,"m","y","pur",1,1,"b",c(-121.918464460901, 36.6334092573358),NA
"mba-2016-07-13-snl-1522","mba-2016-07-13-snl-1522-SB1-5","mba-2016-07-13-snl-1522-SB1-5-1",2016-07-13,1899-12-31 15:22:00,1899-12-31 16:02:00,"k",1,"m","y","pur",0.5,2,"a",c(-121.918464460901, 36.6334092573358),NA
"mba-2016-07-13-snl-1522","mba-2016-07-13-snl-1522-SB1-6","mba-2016-07-13-snl-1522-SB1-6-1",2016-07-13,1899-12-31 15:22:00,1899-12-31 16:02:00,"k",1,"m","y","rab",1,4,"c",c(-121.918464460901, 36.6334092573358),NA
"mba-2016-07-13-snl-1522","mba-2016-07-13-snl-1522-SB1-7","mba-2016-07-13-snl-1522-SB1-7-1",2016-07-13,1899-12-31 15:22:00,1899-12-31 16:02:00,"k",1,"m","y","cra",2,NA,NA,c(-121.918464460901, 36.6334092573358),NA
"mba-2016-07-13-snl-1522","mba-2016-07-13-snl-1522-SB1-7","mba-2016-07-13-snl-1522-SB1-7-2",2016-07-13,1899-12-31 15:22:00,1899-12-31 16:02:00,"k",1,"m","y","unk",1,NA,NA,c(-121.918464460901, 36.6334092573358),NA
"mba-2016-07-13-snl-1522","mba-2016-07-13-snl-1522-SB1-8","mba-2016-07-13-snl-1522-SB1-8-1",2016-07-13,1899-12-31 15:22:00,1899-12-31 16:02:00,"k",1,"m","y","unk",NA,NA,NA,c(-121.918464460901, 36.6334092573358),NA
"mba-2016-07-13-snl-1522","mba-2016-07-13-snl-1522-SB1-9","mba-2016-07-13-snl-1522-SB1-9-1",2016-07-13,1899-12-31 15:22:00,1899-12-31 16:02:00,"k",1,"m","y","cra",3,2,"a",c(-121.918464460901, 36.6334092573358),NA
"mba-2016-07-13-snl-1645","mba-2016-07-13-snl-1645-SB1-1","mba-2016-07-13-snl-1645-SB1-1-1",2016-07-13,1899-12-31 16:45:00,1899-12-31 17:12:00,"k",1,"m","y","prc",1,1,"c",c(-121.91769569789, 36.6326958534748),NA
"mba-2016-07-13-snl-1645","mba-2016-07-13-snl-1645-SB1-10","mba-2016-07-13-snl-1645-SB1-10-1",2016-07-13,1899-12-31 16:45:00,1899-12-31 17:12:00,"k",1,"m","y","cra",NA,NA,NA,c(-121.91769569789, 36.6326958534748),NA
"mba-2016-07-13-snl-1645","mba-2016-07-13-snl-1645-SB1-11","mba-2016-07-13-snl-1645-SB1-11-1",2016-07-13,1899-12-31 16:45:00,1899-12-31 17:12:00,"k",1,"m","y","cra",NA,NA,NA,c(-121.91769569789, 36.6326958534748),NA
"mba-2016-07-13-snl-1645","mba-2016-07-13-snl-1645-SB1-2","mba-2016-07-13-snl-1645-SB1-2-1",2016-07-13,1899-12-31 16:45:00,1899-12-31 17:12:00,"k",1,"m","y","gas",2,1,"b",c(-121.91769569789, 36.6326958534748),NA
